,System Pressure,,"Pump Pressure, ",,Reactor Temperature
Time(hr),PT1 (PSIA),PT2(PSIA),MX03 (PSI),MX04 (PSI,R10 (degC)
1.54028,13.60274,61.54558,94,53,120.6801
1.54055,13.58793,61.54787,94,53,120.63776
1.54083,13.57269,61.5531,94,53,120.66001
1.54111,13.53955,61.56324,99,56,120.65514
1.54139,13.47974,61.57787,99,56,120.65019
1.54167,13.43846,61.59552,99,56,120.64134
1.54194,13.45875,61.60318,99,56,120.62771
1.54222,13.47711,61.60427,99,56,120.61334
1.5425,13.50918,61.59529,99,56,120.59645
1.54278,13.78611,61.55676,99,56,120.57229
1.54305,13.87142,61.50468,99,56,120.54227
1.54333,13.73242,61.51421,92,57,120.50987
1.54361,13.86053,61.5262,92,57,120.4764
1.54389,13.9041,61.52154,92,57,120.43884
1.54417,14.06211,61.51123,92,57,120.40468
1.54444,14.26393,61.46319,92,57,120.36543
1.54472,14.12319,61.41629,92,57,120.28347
1.545,13.72364,61.48105,92,57,120.24777
1.54528,13.54456,61.55467,92,57,119.99998
1.54555,13.41535,61.59673,93,55,120.08875
1.54583,13.33775,61.64214,93,55,120.17173
1.54611,13.33558,61.59724,93,55,120.28347
1.54639,13.1791,61.56149,93,55,120.33553
1.54667,13.13359,61.55446,93,55,120.33292
1.54694,13.24328,61.53622,93,55,120.62599
1.54722,13.33512,61.54188,93,55,120.80884
1.5475,13.42103,61.53813,93,55,120.9063
1.54778,13.43577,61.54579,95,55,121.03646
1.54805,13.45372,61.54585,95,55,121.29901
1.54833,13.48934,61.53926,95,55,121.24452
1.54861,13.58584,61.52002,95,55,121.48738
1.54889,13.60988,61.50281,95,55,121.6805
1.54917,13.62058,61.4871,95,55,121.65261
1.54944,13.61683,61.46917,95,55,121.82896
1.54972,13.57444,61.47665,95,55,121.86491
1.55,13.50869,61.4946,94,54,121.86808
1.55028,13.44636,61.50959,94,54,121.92156
1.55055,13.43763,61.52714,94,54,121.92726
1.55083,13.43049,61.54021,94,54,121.99303
1.55111,13.49541,61.54021,94,54,121.91697
1.55139,13.55569,61.54018,94,54,122.00051
1.55167,13.60324,61.53947,94,54,121.98189
1.55194,13.63031,61.53262,94,54,121.9448
1.55222,13.61073,61.52891,95,52,122.02116
1.5525,13.5915,61.52143,95,52,121.9985
1.55278,13.52767,61.52192,95,52,121.98772
1.55305,13.46396,61.52896,95,52,122.09612
1.55333,13.42432,61.53866,95,52,121.92171
1.55361,13.40971,61.54609,95,52,121.87883
1.55389,13.45399,61.54612,95,52,121.83236
1.55417,13.51229,61.5461,95,52,121.73589
1.55444,13.576,61.52551,93,50,121.79195
1.55472,13.61801,61.51055,93,50,121.71321
1.555,13.63592,61.50272,93,50,121.76417
1.55528,13.60547,61.49332,93,50,121.71474
1.55555,13.54903,61.49481,93,50,121.59615
1.55583,13.48274,61.50528,93,50,121.5247
1.55611,13.42561,61.51535,93,50,121.47263
1.55639,13.40269,61.5248,93,50,121.48883
1.55667,13.4071,61.53598,97,52,121.37762
1.55694,13.46108,61.52519,97,52,121.36707
1.55722,13.5173,61.51635,97,52,121.27069
1.5575,13.57496,61.49842,97,52,121.18697
1.55778,13.62663,61.48608,97,52,121.11361
1.55805,13.62243,61.48835,97,52,121.09824
1.55833,13.58649,61.48627,97,52,121.07526
1.55861,13.5495,61.48526,97,52,121.02444
1.55889,13.47659,61.49983,97,35,120.93108
1.55917,13.41889,61.51101,97,35,120.9366
1.55944,13.39594,61.52069,97,35,120.79868
1.55972,13.4028,61.53525,97,35,120.70219
1.56,13.46637,61.53038,97,35,120.74331
1.56028,13.52766,61.51208,97,35,120.7371
1.56055,13.59115,61.49375,97,35,120.72618
1.56083,13.63761,61.47576,97,35,120.71346
1.56111,13.61701,61.46162,99,52,120.69788
1.56139,13.5827,61.45784,99,52,120.67641
1.56167,13.52574,61.45784,99,52,120.65475
1.56194,13.44699,61.46163,99,52,120.6339
1.56222,13.59529,61.48036,99,52,120.60365
1.5625,13.69237,61.48415,99,52,120.57536
1.56278,13.49608,61.47286,99,52,120.54238
1.56305,13.6654,61.49674,99,52,120.49912
1.56333,13.82066,61.47349,88,59,120.45654
1.56361,13.69388,61.42738,88,59,120.40901
1.56389,13.69047,61.41693,88,59,120.35854
1.56417,13.36651,61.40986,88,59,119.91631
1.56444,12.98986,61.44407,88,59,119.91872
